2025-04-12 13:33:23,848 | INFO | scanner | 🛰️  Scanner initialized for path: /Users/scrapper/Downloads/projects/zennix (deep=False)
2025-04-12 13:33:23,848 | INFO | scanner | 🔍 Starting project scan...

2025-04-12 13:33:23,848 | INFO | scanner | 📁 Scanning folders...
2025-04-12 13:33:23,848 | DEBUG | scanner | 📁 ./ (ignored: 2)
2025-04-12 13:33:23,848 | DEBUG | scanner | 📁 zennix.egg-info/ (ignored: 0)
2025-04-12 13:33:23,848 | DEBUG | scanner | 📁 tests/ (ignored: 0)
2025-04-12 13:33:23,848 | DEBUG | scanner | 📁 docs/ (ignored: 0)
2025-04-12 13:33:23,848 | DEBUG | scanner | 📁 data/ (ignored: 0)
2025-04-12 13:33:23,848 | DEBUG | scanner | │   📁 data/scan_results/ (ignored: 0)
2025-04-12 13:33:23,849 | DEBUG | scanner | │   📁 data/readme_files/ (ignored: 0)
2025-04-12 13:33:23,849 | DEBUG | scanner | 📁 zennix/ (ignored: 1)
2025-04-12 13:33:23,849 | DEBUG | scanner | │   📁 zennix/utils/ (ignored: 1)
2025-04-12 13:33:23,849 | DEBUG | scanner | │   │   📁 zennix/utils/llm/ (ignored: 1)
2025-04-12 13:33:23,849 | DEBUG | scanner | │   📁 zennix/logs/ (ignored: 0)
2025-04-12 13:33:23,849 | DEBUG | scanner | │   📁 zennix/commands/ (ignored: 1)
2025-04-12 13:33:23,849 | DEBUG | scanner | │   📁 zennix/modules/ (ignored: 1)
2025-04-12 13:33:23,849 | INFO | scanner | 📄 Scanning files...
2025-04-12 13:33:23,849 | INFO | scanner | │   └── 📄 .DS_Store (no_ext, 0 lines)
2025-04-12 13:33:23,850 | INFO | scanner | │   └── 📄 pyproject.toml (.toml, 38 lines)
2025-04-12 13:33:23,850 | INFO | scanner | │   └── 📄 README.md (.md, 62 lines)
2025-04-12 13:33:23,850 | INFO | scanner | │   └── 📄 setup.py (.py, 18 lines)
2025-04-12 13:33:23,850 | INFO | scanner | │   └── 📄 .gitignore (no_ext, 5 lines)
2025-04-12 13:33:23,850 | INFO | scanner | │   └── 📄 PKG-INFO (no_ext, 85 lines)
2025-04-12 13:33:23,850 | INFO | scanner | │   └── 📄 SOURCES.txt (.txt, 14 lines)
2025-04-12 13:33:23,851 | INFO | scanner | │   └── 📄 entry_points.txt (.txt, 2 lines)
2025-04-12 13:33:23,852 | INFO | scanner | │   └── 📄 requires.txt (.txt, 2 lines)
2025-04-12 13:33:23,852 | INFO | scanner | │   └── 📄 top_level.txt (.txt, 1 lines)
2025-04-12 13:33:23,852 | INFO | scanner | │   └── 📄 dependency_links.txt (.txt, 1 lines)
2025-04-12 13:33:23,852 | INFO | scanner | │   └── 📄 notes.txt (.txt, 18 lines)
